Doctor_ID,Doctor_Name,Gender,Department_ID,Specialization,Qualification,Experience_Years,Shift
DR00164,Doctor_164,Male,D004,Pediatrics,MBBS,19,Evening
DR00165,Doctor_165,Female,D005,Oncology,MBBS,26,Evening
DR00166,Doctor_166,Male,D006,ENT,MS,28,Evening
DR00167,Doctor_167,Male,D007,Dermatology,MS,7,Morning
DR00168,Doctor_168,Female,D008,General Surgery,MD,16,Evening
DR00169,Doctor_169,Female,D009,Urology,MCh,21,Morning
DR00170,Doctor_170,Female,D010,Nephrology,DM,2,Night
DR00171,Doctor_171,Female,D011,Gynecology,MCh,14,Night
DR00172,Doctor_172,Male,D012,Psychiatry,MBBS,27,Evening
DR00173,Doctor_173,Male,D013,Pulmonology,MS,32,Morning
DR00174,Doctor_174,Male,D014,Gastroenterology,MD,31,Evening
DR00175,Doctor_175,Female,D015,Emergency,MS,20,Evening
DR00176,Doctor_176,Female,D016,Radiology,DM,16,Evening
DR00177,Doctor_177,Female,D017,ICU,MCh,26,Morning
DR00178,Doctor_178,Male,D018,Ophthalmology,MD,5,Morning
DR00179,Doctor_179,Female,D019,Endocrinology,MCh,15,Evening
DR00180,Doctor_180,Female,D020,Dental,DM,28,Morning
DR00181,Doctor_181,Male,D001,Cardiology,MD,6,Morning
DR00182,Doctor_182,Female,D002,Neurology,MCh,6,Evening
DR00183,Doctor_183,Male,D003,Orthopedics,MS,17,Night
DR00184,Doctor_184,Male,D004,Pediatrics,MBBS,27,Evening
DR00185,Doctor_185,Female,D005,Oncology,MCh,14,Evening
DR00186,Doctor_186,Female,D006,ENT,MS,4,Evening
DR00187,Doctor_187,Female,D007,Dermatology,MCh,24,Morning
DR00188,Doctor_188,Male,D008,General Surgery,MBBS,18,Morning
DR00189,Doctor_189,Female,D009,Urology,DM,29,Evening
DR00190,Doctor_190,Female,D010,Nephrology,MBBS,9,Morning
DR00191,Doctor_191,Female,D011,Gynecology,DM,32,Morning
DR00192,Doctor_192,Male,D012,Psychiatry,DM,34,Evening
DR00193,Doctor_193,Female,D013,Pulmonology,MD,7,Morning
DR00194,Doctor_194,Male,D014,Gastroenterology,MD,34,Night
DR00195,Doctor_195,Male,D015,Emergency,DM,6,Night
DR00196,Doctor_196,Male,D016,Radiology,MBBS,9,Morning
DR00197,Doctor_197,Male,D017,ICU,MS,9,Night
DR00198,Doctor_198,Female,D018,Ophthalmology,MCh,28,Night
DR00199,Doctor_199,Male,D019,Endocrinology,MBBS,5,Evening
DR00200,Doctor_200,Male,D020,Dental,DM,17,Morning
DR00201,Doctor_201,Male,D001,Cardiology,MBBS,35,Evening
DR00202,Doctor_202,Female,D002,Neurology,MS,21,Night
DR00203,Doctor_203,Male,D003,Orthopedics,DM,34,Morning
DR00204,Doctor_204,Male,D004,Pediatrics,MBBS,27,Night
DR00205,Doctor_205,Female,D005,Oncology,MBBS,2,Morning
DR00206,Doctor_206,Female,D006,ENT,DM,6,Evening
DR00207,Doctor_207,Male,D007,Dermatology,DM,24,Morning
DR00208,Doctor_208,Female,D008,General Surgery,MBBS,22,Night
DR00209,Doctor_209,Female,D009,Urology,MS,26,Morning
DR00210,Doctor_210,Male,D010,Nephrology,MS,33,Morning
DR00211,Doctor_211,Male,D011,Gynecology,DM,13,Evening
DR00212,Doctor_212,Male,D012,Psychiatry,MD,30,Morning
DR00213,Doctor_213,Female,D013,Pulmonology,MS,7,Night
DR00214,Doctor_214,Female,D014,Gastroenterology,MCh,12,Morning
DR00215,Doctor_215,Female,D015,Emergency,DM,4,Night
DR00216,Doctor_216,Male,D016,Radiology,DM,4,Morning
DR00217,Doctor_217,Male,D017,ICU,MCh,10,Evening
DR00218,Doctor_218,Male,D018,Ophthalmology,MBBS,12,Evening
DR00219,Doctor_219,Female,D019,Endocrinology,MS,8,Morning
DR00220,Doctor_220,Male,D020,Dental,MS,13,Morning
DR00221,Doctor_221,Female,D001,Cardiology,MBBS,20,Night
DR00222,Doctor_222,Female,D002,Neurology,MS,22,Evening
DR00223,Doctor_223,Male,D003,Orthopedics,MBBS,1,Morning
DR00224,Doctor_224,Female,D004,Pediatrics,MBBS,23,Evening
DR00225,Doctor_225,Male,D005,Oncology,MCh,14,Evening
DR00226,Doctor_226,Female,D006,ENT,MS,28,Morning
DR00227,Doctor_227,Male,D007,Dermatology,DM,13,Evening
DR00228,Doctor_228,Female,D008,General Surgery,MD,21,Evening
DR00229,Doctor_229,Female,D009,Urology,MBBS,27,Morning
DR00230,Doctor_230,Female,D010,Nephrology,MBBS,25,Morning
DR00231,Doctor_231,Female,D011,Gynecology,MBBS,4,Evening
DR00232,Doctor_232,Male,D012,Psychiatry,MBBS,22,Evening
DR00233,Doctor_233,Female,D013,Pulmonology,MS,3,Evening
DR00234,Doctor_234,Female,D014,Gastroenterology,MS,20,Morning
DR00235,Doctor_235,Male,D015,Emergency,MBBS,15,Morning
DR00236,Doctor_236,Female,D016,Radiology,DM,25,Evening
DR00237,Doctor_237,Female,D017,ICU,DM,9,Evening
DR00238,Doctor_238,Male,D018,Ophthalmology,MBBS,20,Night
DR00239,Doctor_239,Male,D019,Endocrinology,MCh,16,Evening
DR00240,Doctor_240,Female,D020,Dental,DM,24,Night
DR00241,Doctor_241,Male,D001,Cardiology,MCh,13,Evening
DR00242,Doctor_242,Male,D002,Neurology,MD,27,Morning
DR00243,Doctor_243,Male,D003,Orthopedics,DM,35,Evening
DR00244,Doctor_244,Male,D004,Pediatrics,DM,7,Morning
DR00245,Doctor_245,Female,D005,Oncology,MCh,6,Morning
DR00246,Doctor_246,Male,D006,ENT,DM,32,Night
DR00247,Doctor_247,Female,D007,Dermatology,MD,15,Morning
DR00248,Doctor_248,Female,D008,General Surgery,DM,16,Night
DR00249,Doctor_249,Male,D009,Urology,MS,19,Evening
DR00250,Doctor_250,Female,D010,Nephrology,MS,17,Night
DR00251,Doctor_251,Female,D011,Gynecology,MD,29,Morning
DR00252,Doctor_252,Male,D012,Psychiatry,MD,16,Morning
DR00253,Doctor_253,Female,D013,Pulmonology,MCh,13,Evening
DR00254,Doctor_254,Male,D014,Gastroenterology,DM,17,Morning
DR00255,Doctor_255,Male,D015,Emergency,MBBS,30,Morning
DR00256,Doctor_256,Male,D016,Radiology,MBBS,31,Morning
DR00257,Doctor_257,Female,D017,ICU,MS,3,Evening
DR00258,Doctor_258,Male,D018,Ophthalmology,MBBS,4,Morning
DR00259,Doctor_259,Male,D019,Endocrinology,MBBS,24,Night
DR00260,Doctor_260,Male,D020,Dental,DM,17,Night
DR00261,Doctor_261,Male,D001,Cardiology,MBBS,23,Morning
DR00262,Doctor_262,Male,D002,Neurology,MS,22,Morning
DR00263,Doctor_263,Male,D003,Orthopedics,MD,17,Morning
DR00264,Doctor_264,Male,D004,Pediatrics,MBBS,21,Evening
DR00265,Doctor_265,Female,D005,Oncology,MD,20,Morning
DR00266,Doctor_266,Male,D006,ENT,MBBS,32,Night
DR00267,Doctor_267,Female,D007,Dermatology,MBBS,27,Morning
DR00268,Doctor_268,Female,D008,General Surgery,MCh,10,Night
DR00269,Doctor_269,Male,D009,Urology,MD,26,Night
DR00270,Doctor_270,Female,D010,Nephrology,DM,19,Night
DR00271,Doctor_271,Female,D011,Gynecology,DM,4,Evening
DR00272,Doctor_272,Female,D012,Psychiatry,DM,27,Morning
DR00273,Doctor_273,Female,D013,Pulmonology,MD,26,Night
DR00274,Doctor_274,Female,D014,Gastroenterology,MD,1,Evening
DR00275,Doctor_275,Male,D015,Emergency,DM,8,Morning
DR00276,Doctor_276,Female,D016,Radiology,MCh,24,Evening
DR00277,Doctor_277,Male,D017,ICU,MD,1,Morning
DR00278,Doctor_278,Male,D018,Ophthalmology,DM,6,Night
DR00279,Doctor_279,Female,D019,Endocrinology,MCh,11,Morning
DR00280,Doctor_280,Female,D020,Dental,MS,11,Night
DR00281,Doctor_281,Male,D001,Cardiology,MBBS,7,Evening
DR00282,Doctor_282,Female,D002,Neurology,MD,20,Morning
DR00283,Doctor_283,Male,D003,Orthopedics,DM,21,Morning
DR00284,Doctor_284,Female,D004,Pediatrics,MBBS,11,Night
DR00285,Doctor_285,Male,D005,Oncology,MCh,26,Night
DR00286,Doctor_286,Male,D006,ENT,DM,12,Night
DR00287,Doctor_287,Male,D007,Dermatology,MBBS,26,Night
DR00288,Doctor_288,Male,D008,General Surgery,DM,23,Morning
DR00289,Doctor_289,Male,D009,Urology,MD,13,Morning
DR00290,Doctor_290,Male,D010,Nephrology,MS,8,Evening
DR00291,Doctor_291,Female,D011,Gynecology,MCh,20,Night
DR00292,Doctor_292,Female,D012,Psychiatry,MS,16,Evening
DR00293,Doctor_293,Female,D013,Pulmonology,MS,29,Night
DR00294,Doctor_294,Female,D014,Gastroenterology,MD,2,Morning
DR00295,Doctor_295,Female,D015,Emergency,DM,16,Evening
DR00296,Doctor_296,Female,D016,Radiology,MD,31,Evening
DR00297,Doctor_297,Male,D017,ICU,MBBS,9,Evening
DR00298,Doctor_298,Female,D018,Ophthalmology,MS,6,Evening
DR00299,Doctor_299,Male,D019,Endocrinology,MBBS,9,Morning
DR00300,Doctor_300,Female,D020,Dental,MCh,6,Morning
DR00301,Doctor_301,Female,D001,Cardiology,MD,2,Morning
DR00302,Doctor_302,Male,D002,Neurology,MD,9,Evening
DR00303,Doctor_303,Female,D003,Orthopedics,MD,15,Morning
DR00304,Doctor_304,Female,D004,Pediatrics,MCh,17,Morning
DR00305,Doctor_305,Female,D005,Oncology,MCh,18,Evening
DR00306,Doctor_306,Male,D006,ENT,MS,33,Evening
DR00307,Doctor_307,Male,D007,Dermatology,MCh,17,Night
DR00308,Doctor_308,Male,D008,General Surgery,MS,24,Morning
DR00309,Doctor_309,Male,D009,Urology,MD,26,Morning
DR00310,Doctor_310,Female,D010,Nephrology,MS,25,Morning
DR00311,Doctor_311,Female,D011,Gynecology,MBBS,34,Morning
DR00312,Doctor_312,Female,D012,Psychiatry,DM,34,Night
DR00313,Doctor_313,Male,D013,Pulmonology,MS,35,Night
DR00314,Doctor_314,Female,D014,Gastroenterology,MS,17,Evening
DR00315,Doctor_315,Female,D015,Emergency,MCh,10,Evening
DR00316,Doctor_316,Female,D016,Radiology,MBBS,29,Morning
DR00317,Doctor_317,Male,D017,ICU,MCh,4,Evening
DR00318,Doctor_318,Female,D018,Ophthalmology,MS,21,Night
DR00319,Doctor_319,Male,D019,Endocrinology,MBBS,15,Morning
DR00320,Doctor_320,Female,D020,Dental,MCh,28,Evening
DR00321,Doctor_321,Female,D001,Cardiology,MBBS,9,Evening
DR00322,Doctor_322,Male,D002,Neurology,MCh,3,Morning
DR00323,Doctor_323,Male,D003,Orthopedics,MBBS,23,Evening
DR00324,Doctor_324,Male,D004,Pediatrics,MCh,23,Night
DR00325,Doctor_325,Male,D005,Oncology,DM,20,Night
DR00326,Doctor_326,Male,D006,ENT,MD,24,Night
DR00327,Doctor_327,Female,D007,Dermatology,MD,9,Morning
DR00328,Doctor_328,Male,D008,General Surgery,MD,29,Morning
DR00329,Doctor_329,Male,D009,Urology,MD,18,Evening
DR00330,Doctor_330,Female,D010,Nephrology,MBBS,4,Night
DR00331,Doctor_331,Female,D011,Gynecology,MCh,29,Night
DR00332,Doctor_332,Female,D012,Psychiatry,MD,11,Morning
DR00333,Doctor_333,Male,D013,Pulmonology,MBBS,35,Morning
DR00334,Doctor_334,Female,D014,Gastroenterology,MD,16,Morning
DR00335,Doctor_335,Male,D015,Emergency,MBBS,1,Night
DR00336,Doctor_336,Male,D016,Radiology,MD,27,Morning
DR00337,Doctor_337,Female,D017,ICU,MCh,12,Night
DR00338,Doctor_338,Female,D018,Ophthalmology,MBBS,20,Night
DR00339,Doctor_339,Male,D019,Endocrinology,DM,35,Morning
DR00340,Doctor_340,Female,D020,Dental,DM,30,Morning
DR00341,Doctor_341,Female,D001,Cardiology,MD,15,Morning
DR00342,Doctor_342,Female,D002,Neurology,MD,3,Morning
DR00343,Doctor_343,Female,D003,Orthopedics,MS,4,Evening
DR00344,Doctor_344,Female,D004,Pediatrics,MCh,17,Evening
DR00345,Doctor_345,Male,D005,Oncology,MBBS,33,Morning
DR00346,Doctor_346,Male,D006,ENT,MS,16,Night
DR00347,Doctor_347,Male,D007,Dermatology,MD,21,Morning
DR00348,Doctor_348,Female,D008,General Surgery,MS,16,Evening
DR00349,Doctor_349,Female,D009,Urology,DM,34,Night
DR00350,Doctor_350,Male,D010,Nephrology,MBBS,28,Night
DR00351,Doctor_351,Male,D011,Gynecology,MCh,20,Morning
DR00352,Doctor_352,Female,D012,Psychiatry,MCh,5,Night
DR00353,Doctor_353,Male,D013,Pulmonology,MD,3,Morning
DR00354,Doctor_354,Male,D014,Gastroenterology,MBBS,11,Evening
DR00355,Doctor_355,Male,D015,Emergency,MBBS,2,Morning
DR00356,Doctor_356,Male,D016,Radiology,MBBS,5,Night
DR00357,Doctor_357,Male,D017,ICU,MBBS,24,Morning
DR00358,Doctor_358,Male,D018,Ophthalmology,DM,7,Morning
DR00359,Doctor_359,Male,D019,Endocrinology,MD,8,Morning
DR00360,Doctor_360,Male,D020,Dental,MBBS,19,Evening
DR00361,Doctor_361,Male,D001,Cardiology,MD,7,Night
DR00362,Doctor_362,Male,D002,Neurology,MS,21,Evening
DR00363,Doctor_363,Female,D003,Orthopedics,MS,2,Evening
DR00364,Doctor_364,Female,D004,Pediatrics,MS,4,Night
DR00365,Doctor_365,Female,D005,Oncology,MS,33,Evening
DR00366,Doctor_366,Female,D006,ENT,MCh,2,Evening
DR00367,Doctor_367,Male,D007,Dermatology,DM,34,Morning
DR00368,Doctor_368,Female,D008,General Surgery,DM,4,Night
DR00369,Doctor_369,Male,D009,Urology,MBBS,19,Morning
DR00370,Doctor_370,Female,D010,Nephrology,MBBS,34,Morning
DR00371,Doctor_371,Female,D011,Gynecology,MBBS,1,Evening
DR00372,Doctor_372,Female,D012,Psychiatry,MBBS,32,Night
DR00373,Doctor_373,Male,D013,Pulmonology,DM,23,Night
DR00374,Doctor_374,Female,D014,Gastroenterology,MCh,11,Evening
DR00375,Doctor_375,Male,D015,Emergency,MD,32,Morning
DR00376,Doctor_376,Male,D016,Radiology,MBBS,32,Night
DR00377,Doctor_377,Male,D017,ICU,MS,23,Morning
DR00378,Doctor_378,Female,D018,Ophthalmology,DM,6,Evening
DR00379,Doctor_379,Male,D019,Endocrinology,MS,14,Evening
DR00380,Doctor_380,Female,D020,Dental,DM,35,Night
DR00381,Doctor_381,Male,D001,Cardiology,DM,15,Evening
DR00382,Doctor_382,Male,D002,Neurology,MCh,3,Evening
DR00383,Doctor_383,Female,D003,Orthopedics,MCh,10,Evening
DR00384,Doctor_384,Female,D004,Pediatrics,MD,30,Evening
DR00385,Doctor_385,Female,D005,Oncology,MCh,15,Morning
DR00386,Doctor_386,Female,D006,ENT,DM,16,Night
DR00387,Doctor_387,Male,D007,Dermatology,MS,20,Night
DR00388,Doctor_388,Male,D008,General Surgery,MD,16,Night
DR00389,Doctor_389,Female,D009,Urology,MCh,34,Evening
DR00390,Doctor_390,Male,D010,Nephrology,MD,21,Morning
DR00391,Doctor_391,Female,D011,Gynecology,MBBS,11,Night
DR00392,Doctor_392,Male,D012,Psychiatry,MD,25,Morning
DR00393,Doctor_393,Male,D013,Pulmonology,MS,20,Evening
DR00394,Doctor_394,Female,D014,Gastroenterology,MD,7,Night
DR00395,Doctor_395,Male,D015,Emergency,MS,14,Evening
DR00396,Doctor_396,Female,D016,Radiology,MBBS,1,Evening
DR00397,Doctor_397,Female,D017,ICU,MD,33,Night
DR00398,Doctor_398,Female,D018,Ophthalmology,DM,2,Morning
DR00399,Doctor_399,Female,D019,Endocrinology,MCh,26,Morning
DR00400,Doctor_400,Male,D020,Dental,DM,27,Morning
DR00401,Doctor_401,Male,D001,Cardiology,MD,8,Evening
DR00402,Doctor_402,Female,D002,Neurology,MS,17,Night
DR00403,Doctor_403,Male,D003,Orthopedics,DM,16,Evening
DR00404,Doctor_404,Male,D004,Pediatrics,MS,28,Evening
DR00405,Doctor_405,Female,D005,Oncology,MBBS,27,Night
DR00406,Doctor_406,Male,D006,ENT,MS,1,Evening
DR00407,Doctor_407,Female,D007,Dermatology,MBBS,3,Evening
DR00408,Doctor_408,Male,D008,General Surgery,MD,13,Night
DR00409,Doctor_409,Female,D009,Urology,MBBS,30,Night
DR00410,Doctor_410,Male,D010,Nephrology,DM,33,Morning
DR00411,Doctor_411,Female,D011,Gynecology,MCh,22,Evening
DR00412,Doctor_412,Female,D012,Psychiatry,MD,12,Evening
DR00413,Doctor_413,Male,D013,Pulmonology,MCh,23,Night
DR00414,Doctor_414,Male,D014,Gastroenterology,MS,18,Evening
DR00415,Doctor_415,Female,D015,Emergency,MBBS,1,Morning
DR00416,Doctor_416,Female,D016,Radiology,DM,23,Night
DR00417,Doctor_417,Female,D017,ICU,MBBS,15,Evening
DR00418,Doctor_418,Female,D018,Ophthalmology,MCh,15,Evening
